bar-0:GeomFromText('POLYGON((5458.02935394389 -6312.57567245199,5458.02935394389 -6314.86966584192,5452.23258999246 -6314.86966584192,5452.23258999246 -6312.57567245199,5458.02935394389 -6312.57567245199))')
bar-1:GeomFromText('POLYGON((-6705.1094399225 -256.344101306633,-6705.1094399225 -261.694283309742,-6709.35962335952 -261.694283309742,-6709.35962335952 -256.344101306633,-6705.1094399225 -256.344101306633))')
bar-2:GeomFromText('POLYGON((4053.47707737715 -6519.31919897068,4053.47707737715 -6526.10071195196,4051.7036424902 -6526.10071195196,4051.7036424902 -6519.31919897068,4053.47707737715 -6519.31919897068))')
bar-3:GeomFromText('POLYGON((-789.376063898671 9813.25504362897,-789.376063898671 9805.65115816577,-798.314470171463 9805.65115816577,-798.314470171463 9813.25504362897,-789.376063898671 9813.25504362897))')
bar-4:GeomFromText('POLYGON((5314.82391068619 6796.50787384971,5314.82391068619 6786.9779641761,5307.67464069743 6786.9779641761,5307.67464069743 6796.50787384971,5314.82391068619 6796.50787384971))')
bar-5:GeomFromText('POLYGON((-5593.04944345762 -2709.8580230627,-5593.04944345762 -2711.0426999029,-5600.87636006961 -2711.0426999029,-5600.87636006961 -2709.8580230627,-5593.04944345762 -2709.8580230627))')
bar-6:GeomFromText('POLYGON((9286.55347171554 -3738.95865765971,9286.55347171554 -3740.18086219567,9280.02440054587 -3740.18086219567,9280.02440054587 -3738.95865765971,9286.55347171554 -3738.95865765971))')
bar-7:GeomFromText('POLYGON((2161.16388859123 -3445.60503819317,2161.16388859123 -3449.672527152,2151.64116053015 -3449.672527152,2151.64116053015 -3445.60503819317,2161.16388859123 -3445.60503819317))')
bar-8:GeomFromText('POLYGON((5143.66810511204 -453.226612364291,5143.66810511204 -458.819363782764,5141.75654087809 -458.819363782764,5141.75654087809 -453.226612364291,5143.66810511204 -453.226612364291))')
bar-9:GeomFromText('POLYGON((-7467.37832983769 -9019.84048946074,-7467.37832983769 -9029.27514226863,-7472.36226836406 -9029.27514226863,-7472.36226836406 -9019.84048946074,-7467.37832983769 -9019.84048946074))')
bar-10:GeomFromText('POLYGON((6472.51540292567 265.557819371927,6472.51540292567 260.932373488438,6468.36663167411 260.932373488438,6468.36663167411 265.557819371927,6472.51540292567 265.557819371927))')
bar-11:GeomFromText('POLYGON((-880.726009818143 -9485.7114446559,-880.726009818143 -9488.8130682311,-890.597885263734 -9488.8130682311,-890.597885263734 -9485.7114446559,-880.726009818143 -9485.7114446559))')
bar-12:GeomFromText('POLYGON((9730.05737688357 557.065255435067,9730.05737688357 553.615723310155,9720.90695474332 553.615723310155,9720.90695474332 557.065255435067,9730.05737688357 557.065255435067))')
bar-13:GeomFromText('POLYGON((480.776250270312 8509.72113846336,480.776250270312 8501.81466253009,472.722772600944 8501.81466253009,472.722772600944 8509.72113846336,480.776250270312 8509.72113846336))')
bar-14:GeomFromText('POLYGON((-5753.50713453058 4991.69217366434,-5753.50713453058 4986.75214182877,-5760.00910715398 4986.75214182877,-5760.00910715398 4991.69217366434,-5753.50713453058 4991.69217366434))')
bar-15:GeomFromText('POLYGON((-330.600477195345 -3188.86750271055,-330.600477195345 -3191.92120912042,-333.986729943193 -3191.92120912042,-333.986729943193 -3188.86750271055,-330.600477195345 -3188.86750271055))')
bar-16:GeomFromText('POLYGON((1259.21164472809 -1568.1866130929,1259.21164472809 -1569.85061772657,1253.70221378992 -1569.85061772657,1253.70221378992 -1568.1866130929,1259.21164472809 -1568.1866130929))')
bar-17:GeomFromText('POLYGON((-5073.38234795223 4278.47987300879,-5073.38234795223 4273.27678278857,-5082.14907148888 4273.27678278857,-5082.14907148888 4278.47987300879,-5073.38234795223 4278.47987300879))')
